eng_TAMsimp,p3,p1,p2
PAST,1.06,23.72,86.3
PAST ~ PRES PART,1.08,19.0,47.5
PAST ~ PAST PERF,1.02,60.67,182.0
PRES PERF,1.69,3.93,6.56
PRES,1.2,13.5,10.8
?PAST ~ PAST,1.07,15.5,inf
PAST ~ PRES PERF,2.55,3.61,3.03
?PAST,1.04,25.5,inf
PAST ~ PRES,1.24,13.0,8.67
PAST ~ TO INF,1.06,23.67,71.0
PAST PERF,1.02,55.0,inf
PRES ~ PRES PERF,1.58,5.86,5.12
PAST ~ PAST PROG,1.0,inf,inf
PRES PART,1.13,inf,8.67
FUT ~ PRES,1.15,15.0,15.0
?PRES,1.86,4.33,4.33
?PRES ~ PRES,1.08,inf,13.0
MOD would,1.1,inf,11.0
MOD could ~ PAST,1.0,inf,inf
TO INF,1.5,4.5,9.0
?VB ~ PAST,1.8,4.5,4.5
?PRES ~ PAST,1.75,inf,2.33
FUT ~ PAST,1.0,inf,inf
?PAST ~ PRES PART,1.0,inf,inf
PAST PROG,1.0,inf,inf
?VB,1.25,5.0,inf
PRES PART ~ PRES PERF,1.67,2.5,inf
FUT ~ PRES PERF,5.0,1.67,5.0
PAST PERF ~ PRES PERF,1.0,inf,inf
MOD would ~ PAST,1.0,inf,inf
?PAST did not ~ PAST,2.0,4.0,4.0
PRES ~ PRES PART,1.33,inf,4.0
PRES ~ PRES PROG,2.0,inf,2.0
?TO INF ~ PAST,1.0,inf,inf
MOD let ~ PAST,1.0,inf,inf
?PAST ~ PRES,1.5,3.0,inf
?PAST ~ ?VB,1.5,3.0,inf
PRES ~ TO INF,1.0,inf,inf
IMPV ~ PAST,1.0,inf,inf
MOD let,1.5,inf,3.0
FUT ~ MOD shall,1.0,inf,inf
PAST PERF ~ PRES PART,1.0,inf,inf
PRES PERF ~ TO INF,1.5,inf,3.0
??PAST,2.0,inf,2.0
?PRES PERF ~ PRES,inf,1.0,inf
PRES PERF ~ PRES PROG,inf,1.0,inf
?PAST ~ IMPV,1.0,inf,inf
?VB ~ PRES,1.0,inf,inf
?VB ~ PRES PERF,inf,inf,1.0
FUT,1.0,inf,inf
?PRES ~ ?PRES PERF,1.0,inf,inf
?PRES ~ PRES PERF,1.0,inf,inf
?FUT ~ PAST,2.0,2.0,inf
?PRES PERF,1.0,inf,inf
MOD can ~ PRES,1.0,inf,inf
??VB ~ ?PAST question,inf,2.0,2.0
MOD may ~ PAST,1.0,inf,inf
?PRES ~ PRES PART,2.0,inf,2.0
?PAST wh-question,inf,inf,1.0
?PAST wh-question ~ ?PRES,inf,inf,1.0
?PAST question,1.0,inf,inf
?PAST do-support ~ PAST,1.0,inf,inf
?PAST wh-question ~ MOD let,inf,inf,1.0
?PAST did not ~ TO INF,1.0,inf,inf
?PAST wh-question ~ PAST,1.0,inf,inf
?PAST wh-question ~ TO INF,1.0,inf,inf
?PAST ~ ?TO INF,1.0,inf,inf
?MOD would ~ PAST,1.0,inf,inf
?PAST did not ~ ?PAST question,inf,inf,1.0
?PAST PERF ~ PAST PERF,inf,inf,1.0
?MOD would,1.0,inf,inf
?MOD let ~ PAST,1.0,inf,inf
?FUT ~ PRES PART,1.0,inf,inf
?FUT ~ PRES,1.0,inf,inf
?FUT ~ ?PRES,1.0,inf,inf
??VB ~ PRES PERF,inf,inf,1.0
??VB ~ PRES,inf,inf,1.0
??VB ~ PAST,inf,inf,1.0
??PRES ~ PAST,1.0,inf,inf
??PAST ~ PAST,1.0,inf,inf
??PAST ~ ?TO INF,1.0,inf,inf
??PAST ~ ?PAST,1.0,inf,inf
PRES PERF PROG,inf,1.0,inf
MOD let ~ PRES PART,1.0,inf,inf
PRES PART ~ TO INF,1.0,inf,inf
?PAST ~ PAST PERF,1.0,inf,inf
MOD may,1.0,inf,inf
MOD let ~ MOD may,1.0,inf,inf
MOD is to ~ PRES PERF,1.0,inf,inf
MOD may ~ PRES,1.0,inf,inf
MOD could ~ MOD might,inf,1.0,inf
IMPV ~ PRES PART,1.0,inf,inf
IMPV ~ PRES,inf,inf,1.0
MOD might ~ PRES PERF,1.0,inf,inf
MOD must ~ PAST,1.0,inf,inf
MOD must ~ PRES,1.0,inf,inf
MOD should ~ MOD would,1.0,inf,inf
FUT ~ MOD would,inf,inf,1.0
MOD should ~ PRES,inf,inf,1.0
MOD should ~ TO INF,1.0,inf,inf
MOD would ~ PRES,1.0,inf,inf
?TO INF ~ PRES,1.0,inf,inf
?TO INF,inf,inf,1.0
?PRES ~ TO INF,1.0,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf
PAST PROG ~ PRES PART,1.0,inf,inf
?PRES ~ FUT,inf,1.0,inf
?PRES ~ ?VB,1.0,inf,inf
?PRES PERF ~ PAST,1.0,inf,inf
MOD let ~ PRES,1.0,inf,inf
?PAST ~ PRES PERF,1.0,inf,inf
PAST PROG ~ PRES PERF PROG,inf,1.0,inf
PAST ~ PAST PERF PROG,1.0,inf,inf
PAST PROG ~ PRES PERF,1.0,inf,inf
