,sum
FUT,0.24
FUT ~ MOD shall,0.19
PRES,0.09
IMPV ~ MOD shall,0.07
IMPV,0.06
MOD is to ~ MOD shall,0.05
PAST,0.04
MOD shall,0.04
MOD must ~ MOD shall,0.03
FUT ~ PRES,0.02
MOD may,0.01
PAST ~ PRES,0.01
MOD shall ~ PRES,0.01
FUT ~ MOD may,0.01
PRES PERF,0.01
MOD shall ~ TO INF,0.0
PRES ~ PRES PART,0.0
PRES ~ PRES PERF,0.0
TO INF,0.0
MOD would,0.0
MOD would ~ PAST,0.0
FUT ~ MOD lest,0.0
MOD may ~ TO INF,0.0
MOD may ~ PRES,0.0
MOD let,0.0
PRES ~ TO INF,0.0
FUT ~ IMPV,0.0
MOD may ~ MOD shall,0.0
PAST ~ PRES PART,0.0
MOD shall ~ PRES PART,0.0
FUT ~ TO INF,0.0
IMPV ~ PRES,0.0
IMPV ~ MOD let,0.0
PRES PART,0.0
PAST ~ PRES PERF,0.0
IMPV ~ TO INF,0.0
FUT ~ PRES PART,0.0
FUT ~ MOD let,0.0
FUT ~ MOD would,0.0
MOD can ~ MOD may,0.0
MOD can ~ MOD shall,0.0
MOD let ~ MOD shall,0.0
MOD shall ~ PAST,0.0
FUT ~ PAST,0.0
MOD let ~ MOD may,0.0
MOD is to ~ PRES,0.0
MOD is to ~ MOD let,0.0
MOD lest ~ TO INF,0.0
PAST ~ PAST PROG,0.0
PAST ~ TO INF,0.0
MOD is to ~ PAST,0.0
MOD lest ~ MOD may,0.0
MOD shall ~ PRES PERF,0.0
FUT ~ PRES PERF,0.0
MOD shall ~ MOD would,0.0
IMPV ~ MOD lest,0.0
IMPV ~ PAST,0.0
MOD would ~ PRES,0.0
MOD may ~ MOD must,0.0
MOD can,0.0
MOD let ~ TO INF,0.0
HAB used to ~ PAST,0.0
IMPV ~ MOD must,0.0
FUT ~ FUT PERF,0.0
MOD should ~ PRES,0.0
FUT ~ MOD can,0.0
MOD should,0.0
PAST PERF,0.0
IMPV ~ MOD may,0.0
MOD shall ~ MOD should,0.0
IMPV ~ MOD would,0.0
MOD was to,0.0
MOD VB ~ PRES,0.0
MOD is to ~ TO INF,0.0
HAB used to ~ MOD would,0.0
HAB used to,0.0
MOD can ~ PRES,0.0
FUT ~ FUT going-to,0.0
PAST ~ PAST PERF,0.0
MOD could ~ MOD may,0.0
MOD should ~ TO INF,0.0
MOD that be ~ TO INF,0.0
FUT ~ MOD must,0.0
IMPV ~ MOD is to,0.0
PRES PART ~ PRES PERF,0.0
MOD may ~ PRES PART,0.0
MOD may ~ MOD should,0.0
MOD lest ~ MOD might,0.0
MOD would ~ PRES PART,0.0
MOD let ~ MOD must,0.0
IMPV ~ PRES PART,0.0
MOD can ~ MOD let,0.0
MOD must ~ PRES PART,0.0
FUT going-to ~ MOD shall,0.0
MOD must ~ PRES,0.0
MOD let ~ PRES,0.0
MOD lest ~ MOD must,0.0
PRES ~ PRES PROG,0.0
MOD lest ~ PRES PART,0.0
MOD was to ~ PAST,0.0
MOD let ~ MOD might,0.0
MOD ~ MOD would,0.0
FUT ~ MOD VB,0.0
MOD VB ~ MOD can,0.0
FUT PROG,0.0
HAB used to ~ PRES PART,0.0
MOD quest must ~ MOD shall,0.0
FUT ~ MOD should,0.0
MOD should ~ MOD would,0.0
IMPV ~ MOD VB,0.0
MOD could,0.0
MOD could ~ MOD would,0.0
MOD let ~ MOD would,0.0
MOD might ~ MOD would,0.0
PRES ~ VB,0.0
PRES PERF ~ TO INF,0.0
FUT ~ MOD that be,0.0
MOD let ~ MOD should,0.0
MOD could ~ TO INF,0.0
MOD might,0.0
PAST PERF ~ PRES PART,0.0
MOD is to ~ PRES PART,0.0
MOD is to ~ MOD may,0.0
MOD is to ~ MOD lest,0.0
PAST PROG ~ TO INF,0.0
FUT ~ FUT PROG,0.0
FUT ~ MOD is to,0.0
MOD can ~ TO INF,0.0
MOD let ~ PRES PART,0.0
MOD lest ~ PRES,0.0
MOD must,0.0
MOD would ~ TO INF,0.0
MOD would ~ PRES PROG,0.0
HAB used to ~ PAST PROG,0.0
