esv_TAM,sum
MOD shall,3690
PRES,3182
FUT,2948
MOD let,955
MOD may,789
PAST,598
IMPV,425
IMPV do not,397
MOD can,303
PRES do not,208
MOD would,200
MOD should,167
MOD lest,140
TO INF,135
PRES PERF,119
PRES PART,110
FUT question,88
PRES wh-question,74
MOD must,68
PRES question,65
MOD quest shall,55
MOD quest can,52
MOD could,51
MOD might,45
PAST did not,28
MOD is to,24
MOD quest should,19
FUT wh-question,19
HAB used to,17
PAST PERF,13
MOD was to,12
PRES do-support,9
MOD that be,8
PRES PROG,8
MOD VB,8
PAST PROG,6
MOD quest would,5
MOD,4
?VB,4
PAST question,3
PRES PERF question,3
PRES PERF wh-question,3
FUT PROG,3
PRES shall,3
PAST wh-question,2
MOD quest could,2
MOD need not,2
PRES do,2
FUT PERF,2
MOD quest must,1
MOD that,1
PRES can,1
JJ,1
IMPV not,1
PAST PROG keep,1
