,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
PAST..IND,-19.52,-75.2,177.7,-24.68,41.17,-4.37,-0.94,30.87,-9.54,0.94,29.91,17.51,-2.12,-3.35,0.07,1.2,1.64,-0.22,-1.77
PRES.PERF.IND,128.31,15.95,-275.62,1.18,-29.4,16.58,-5.39,-16.87,-2.19,-9.72,-11.52,-9.88,0.95,0.07,0.68,-0.32,-1.03,1.18,1.89
PRES..IND,-19.8,87.48,-232.4,62.4,-25.18,-0.69,14.88,-14.34,27.1,-1.35,-9.97,-7.05,2.17,2.85,-0.18,-0.34,-2.31,-1.28,0.52
PAST.PERF.IND,-23.26,-49.33,194.51,-34.97,1.95,-7.56,-3.82,0.0,-2.55,10.83,-1.05,0.26,-0.9,0.0,-0.76,-0.0,1.96,0.46,-0.21
FUT..IND,-0.92,8.79,-6.9,-0.29,-0.38,0.71,1.5,-0.2,0.0,0.0,0.0,0.0,0.5,1.58,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.63,-2.01,0.79,0.89,-0.39,-0.19,-0.2,-0.0,0.0,0.26,0.0,0.0,0.0,0.69,0.74,0.0,0.0,0.0,0.0
PRES..MOD,-0.68,-1.45,3.15,0.0,1.32,-0.2,0.0,0.66,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0
PRES..,-1.22,0.86,-0.0,0.63,0.0,0.0,0.0,0.4,0.46,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,3.78,0.24,-1.7,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.49,-1.31,1.39,-0.84,0.55,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.22,0.49,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
